name_ru,name_uz,name_en,category,kcal_100g,fat_100g,protein_100g,carbs_100g,fiber_100g,source,source_version,verified_at
Масло сливочное,,"Butter, salted",Жиры и масла,717,81.11,0.85,0.06,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 173410",2026-08-31
Масло топлёное (гхи),,"Butter oil, anhydrous",Жиры и масла,876,99.48,0.28,0.00,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 173412",2026-08-31
Масло оливковое,,"Oil, olive, salad or cooking",Жиры и масла,884,100.00,0.00,0.00,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 171413",2026-08-31
Масло подсолнечное,,"Oil, sunflower, linoleic, (approx. 65%)",Жиры и масла,884,100.00,0.00,0.00,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 171025",2026-08-31
Масло хлопковое,,"Oil, cottonseed, salad or cooking",Жиры и масла,884,100.00,0.00,0.00,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 171024",2026-08-31
Масло кукурузное,,"Oil, corn, industrial and retail, all purpose salad or cooking",Жиры и масла,900,100.00,0.00,0.00,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 171029",2026-08-31
Масло кокосовое,,"Oil, coconut",Жиры и масла,892,99.06,0.00,0.00,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 171412",2026-08-31
Жир свиной (смалец),,Lard,Жиры и масла,902,100.00,0.00,0.00,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 171401",2026-08-31
Майонез,,"Salad dressing, mayonnaise, regular",Жиры и масла,680,74.85,0.96,0.57,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 171009",2026-08-31
Сливки 36%,,"Cream, fluid, heavy whipping",Молочные продукты,340,36.08,2.84,2.84,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 170859",2026-08-31
Сметана,,"Cream, sour, cultured",Молочные продукты,198,19.35,2.44,4.63,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 171257",2026-08-31
"Молоко цельное 3,25%",,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",Молочные продукты,61,3.27,3.15,4.78,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 172217",2026-08-31
Сыр моцарелла,,"Cheese, mozzarella, whole milk",Молочные продукты,299,22.14,22.17,2.40,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 170845",2026-08-31
Сыр брынза (фета),,"Cheese, feta",Молочные продукты,265,21.49,14.21,3.88,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 173420",2026-08-31
Сыр сливочный,,"Cheese, cream",Молочные продукты,350,34.44,6.15,5.52,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 173418",2026-08-31
Йогурт греческий цельный,,"Yogurt, Greek, plain, whole milk",Молочные продукты,97,5.00,9.00,3.98,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 171304",2026-08-31
Яйцо куриное,,"Egg, whole, raw, fresh",Яйца,143,9.51,12.56,0.72,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 171287",2026-08-31
Яичный желток,,"Egg, yolk, raw, fresh",Яйца,322,26.54,15.86,3.59,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 172184",2026-08-31
Яичный белок,,"Egg, white, raw, fresh",Яйца,52,0.17,10.90,0.73,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 172183",2026-08-31
"Говядина, фарш 80/20",,"Beef, ground, 80% lean meat / 20% fat, raw",Мясо и птица,254,20.00,17.17,0.00,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 174036",2026-08-31
"Говядина, печень",,"Beef, variety meats and by-products, liver, raw",Мясо и птица,135,3.63,20.36,3.89,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 169451",2026-08-31
"Говядина, язык",,"Beef, variety meats and by-products, tongue, raw",Мясо и птица,224,16.09,14.90,3.68,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 170196",2026-08-31
"Баранина, фарш",,"Lamb, ground, raw",Мясо и птица,282,23.41,16.56,0.00,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 174370",2026-08-31
"Курица, бедро с кожей",,"Chicken, broilers or fryers, thigh, meat and skin, raw",Мясо и птица,221,16.61,16.52,0.25,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 172385",2026-08-31
"Курица, кожа",,"Chicken, broilers or fryers, skin only, raw",Мясо и птица,349,32.35,13.33,0.00,0.00,USDA FoodData Central,"SR Legacy 2018-04, fdc 171452",2026-08-31
